ID,FILEID,PLAYCNT,PLAYCNTINIT,CREATETIME,UPDATETIME
304,55545,4749246,15980,1611644350,1718276803
881,54943,3579920,28898,1611644350,1718276297
866384,64747,2556012,0,1614755417,1718276806
4378964,100173,1696799,0,1621518342,1718276591
743,55090,1511844,15757,1611644350,1718276323
2529949,78563,1124831,17354,1618214301,1718276315
4860179,100020,1092251,0,1622705646,1718272166
4825019,100018,1055421,0,1622622321,1718276423
4650887,100010,1052293,0,1622183938,1718276571
4369346,100161,1035046,0,1621511296,1718276835
929,55388,1023065,15564,1611644350,1718276648
4816244,100071,962391,0,1622593386,1718276486
4860205,100019,881653,0,1622705758,1718276716
145,55489,873694,15563,1611644350,1718276796
2529808,78627,827224,12333,1618214301,1718276817
4862237,100027,808712,0,1622715252,1718276629
898,55281,796967,8018,1611644350,1718275467
677,55528,788865,10505,1611644350,1718276649
4646691,100012,784479,0,1622172056,1718276529
2529918,78528,695088,16515,1618214301,1718274366
783,55447,671375,10675,1611644350,1718276673
4859955,100028,663840,0,1622703898,1718276737
4651213,100011,613498,0,1622187648,1718276739
2529887,78497,604198,16401,1618214301,1718276681
212,55468,596953,10569,1611644350,1718276796
2529980,78596,583111,16977,1618214301,1718276837
4348552,100057,559261,0,1621438005,1718274787
862464,64539,526364,13143,1614739331,1718276671
4624177,100013,515705,0,1622115843,1718276512
4860195,100021,470515,0,1622705714,1718276789
1145523,65294,442203,6491,1615428864,1718276812
4763540,100077,437426,0,1622464436,1718276182
2529856,78686,421100,5141,1618214301,1718276175
1145365,65249,419682,12809,1615428864,1718275848
4402314,100172,376111,0,1621582328,1718276424
4859799,100023,375953,0,1622702400,1718276773
862426,64565,367005,23954,1614739331,1718275878
1149562,65836,364320,25846,1615443567,1718276688
274,55548,351774,556,1611644350,1718276587
4816162,100086,345285,0,1622593376,1718236166
862516,64502,331661,4166,1614739331,1718276774
4372070,100163,329050,0,1621513747,1718275526
4651115,100008,324901,0,1622186838,1718276669
432,55273,320086,10960,1611644350,1718275288
762,55308,312356,5534,1611644350,1718275997
550,55067,305682,10755,1611644350,1718276664
1145458,65353,298237,17095,1615428864,1718274872
343,54906,297474,10976,1611644350,1718274072
4403330,100194,291520,0,1621588261,1718276835
1145469,65274,289761,5270,1615428864,1718276664
374,54987,286358,15877,1611644350,1718258745
4788310,100198,271616,0,1622538867,1718276769
4402660,100170,271178,0,1621584970,1718276743
4321976,100061,266781,0,1621415851,1718229728
696,54687,263263,5242,1611644350,1718276405
1145427,65342,256522,16157,1615428864,1718271198
4761959,100009,252272,0,1622461695,1718267053
4860193,100022,250381,0,1622705688,1718275111
1145542,65302,239402,9756,1615428864,1718272774
4794660,100079,239236,0,1622552100,1718276527
275,55553,236719,463,1611644350,1718274610
114,55318,232023,8145,1611644350,1718276008
411,55173,230586,13596,1611644350,1718276402
276,55561,221474,319,1611644350,1718275896
239,55231,220533,9228,1611644350,1718274663
829,54947,213026,435,1611644350,1718273534
42,55199,210974,6886,1611644350,1718276302
4813270,100202,206482,0,1622588929,1718276529
122306,57723,204179,4316,1612338191,1718276831
70,55016,200534,3791,1611644350,1718276480
4322544,100062,200091,0,1621417947,1718275046
685,54861,195925,3909,1611644350,1718276256
2529845,78649,194911,19752,1618214301,1718263227
1145510,65295,193636,22643,1615428864,1718253957
713,54736,188095,9126,1611644350,1718273496
277,55567,187238,761,1611644350,1718276718
278,55570,183560,420,1611644350,1718274374
515,55328,174381,10519,1611644350,1718273539
283,55588,171687,359,1611644350,1718275837
80,54818,170968,5351,1611644350,1718276746
279,55574,168604,323,1611644350,1718276573
830,54951,168156,547,1611644350,1718275766
4330540,100049,166108,0,1621429165,1718276347
4816728,100076,165936,0,1622593446,1718276707
4788488,100204,165784,0,1622539329,1718255474
280,55578,164543,343,1611644350,1718274566
99,55048,164182,5025,1611644350,1718261163
4784272,100249,163855,0,1622521666,1718266803
282,55585,162630,412,1611644350,1718275838
284,55590,162518,536,1611644350,1718276609
4794886,100080,159683,0,1622552325,1718256301
4817640,100074,159172,0,1622593879,1718276458
281,55582,158309,551,1611644350,1718275316
285,55593,158127,536,1611644350,1718276101
563,55359,156880,6959,1611644350,1718276595
714,55093,156738,496,1611644350,1718276323
291,55608,156124,677,1611644350,1718276803
286,55595,155789,322,1611644350,1718276102
4807980,100120,154005,0,1622558121,1718276392
872070,64739,150202,0,1614772730,1718276759
