ID,CONTENTID,TRUEPLAYCNT,FALSEPLAYCNT,TRUEDOWNLOADNUM,FALSEDOWNLOADNUM,TRUESHARENUM,FALSESHARENUM,STATUS,CREATETIME,UPDATETIME
674616,727855,18488,138751,0,0,0,0,1,2024-02-0308:12:34,2024-06-1318:38:18
659087,55390,18281,137541,0,0,0,0,1,2024-02-0220:46:57,2024-06-1317:00:58
1031146,100160,17302,130049,0,0,0,0,1,2024-02-1522:34:59,2024-06-1318:02:00
674590,727854,16714,125249,0,0,0,0,1,2024-02-0308:11:38,2024-06-1318:38:14
642981,450603,13856,104207,0,0,0,0,1,2024-02-0212:53:18,2024-06-1216:15:00
654491,101720,13841,103529,0,0,0,0,1,2024-02-0219:21:52,2024-06-1222:26:52
659105,55389,12026,90465,0,0,0,0,1,2024-02-0220:47:10,2024-06-1317:08:45
674628,727856,11907,89872,0,0,0,0,1,2024-02-0308:13:01,2024-06-1318:38:50
1031447,100161,11531,86286,0,0,0,0,1,2024-02-1522:42:50,2024-06-1318:09:51
743857,55391,11473,86000,0,0,0,0,1,2024-02-0418:57:51,2024-06-1316:53:52
654779,101721,11220,83996,0,0,0,0,1,2024-02-0219:28:12,2024-06-1223:05:07
655049,101722,10577,78974,0,0,0,0,1,2024-02-0219:35:06,2024-06-1223:39:57
642997,450612,9917,74400,0,0,0,0,1,2024-02-0212:54:42,2024-06-1307:26:10
744621,55394,9708,72971,0,0,0,0,1,2024-02-0419:19:44,2024-06-1316:32:11
1031663,64748,9619,72081,0,0,0,0,1,2024-02-1522:49:29,2024-06-1318:16:30
665121,100343,9302,69705,0,0,0,0,1,2024-02-0222:05:18,2024-06-1223:46:44
642870,713319,9298,69873,0,0,0,0,1,2024-02-0212:46:10,2024-06-1013:34:31
732179,55392,9266,69535,0,0,0,0,1,2024-02-0413:04:39,2024-06-1316:46:54
741282,748404,9042,68139,0,0,0,0,1,2024-02-0417:59:15,2024-06-1018:27:06
674641,727857,9036,67577,0,0,0,0,1,2024-02-0308:13:31,2024-06-1318:39:02
916340,100162,8803,65974,0,0,0,0,1,2024-02-1117:25:09,2024-06-1222:16:28
665164,100344,8778,65697,0,0,0,0,1,2024-02-0222:05:57,2024-06-1223:53:39
744354,55393,8349,62683,0,0,0,0,1,2024-02-0419:11:57,2024-06-1316:39:08
1031945,64749,8252,61993,0,0,0,0,1,2024-02-1522:56:42,2024-06-1318:25:32
