ID,CONTENTID,CONTENTNAME,真实播放量,外显播放量,CREATETIME,UPDATETIME
674616,727855,第一节【小学】高效学习方法精讲,18488,138751,2024-02-0308:12:34,2024-06-1318:38:18
659087,55390,鲁智深：拳打镇关西,18281,137541,2024-02-0220:46:57,2024-06-1317:00:58
1031146,100160,中国第一个皇帝——秦始皇,17302,130049,2024-02-1522:34:59,2024-06-1318:02:00
674590,727854,【小学】高效学习方法精讲,16714,125249,2024-02-0308:11:38,2024-06-1318:38:14
642981,450603,2指甲上没有月牙是生病了吗？,13856,104207,2024-02-0212:53:18,2024-06-1216:15:00
654491,101720,Hole掉进兔子洞伊索——从哑巴男孩到故事大王,13841,103529,2024-02-0219:21:52,2024-06-1222:26:52
659105,55389,水浒传：发刊词,12026,90465,2024-02-0220:47:10,2024-06-1317:08:45
674628,727856,第二节【小学】高效学习方法精讲,11907,89872,2024-02-0308:13:01,2024-06-1318:38:50
1031447,100161,败家的二代——秦二世胡亥,11531,86286,2024-02-1522:42:50,2024-06-1318:09:51
743857,55391,鲁智深：倒拔垂杨柳,11473,86000,2024-02-0418:57:51,2024-06-1316:53:52
654779,101721,徒劳的寒鸦：一身黑的鸟儿能当上鸟类之王吗？,11220,83996,2024-02-0219:28:12,2024-06-1223:05:07
655049,101722,说谎的放羊娃：谎话多说几次，真话就没人信了！,10577,78974,2024-02-0219:35:06,2024-06-1223:39:57
642997,450612,3你的牙齿是怎么被蛀掉的？,9917,74400,2024-02-0212:54:42,2024-06-1307:26:10
744621,55394,武松：景阳冈打虎,9708,72971,2024-02-0419:19:44,2024-06-1316:32:11
1031663,64748,从无业游民到开国皇帝——汉高祖刘邦,9619,72081,2024-02-1522:49:29,2024-06-1318:16:30
665121,100343,驴子与蝉：驴子能像蝉一样，唱出好听的歌吗？,9302,69705,2024-02-0222:05:18,2024-06-1223:46:44
642870,713319,发生地震高层和低层究竟哪个更安全？情景1-打招呼,9298,69873,2024-02-0212:46:10,2024-06-1013:34:31
732179,55392,林冲：棒打洪教头,9266,69535,2024-02-0413:04:39,2024-06-1316:46:54
741282,748404,六年级学习方法11,9042,68139,2024-02-0417:59:15,2024-06-1018:27:06
674641,727857,第三节【小学】高效学习方法精讲,9036,67577,2024-02-0308:13:31,2024-06-1318:39:02
916340,100162,打开大门向西走！丝绸之路之父——汉武帝刘彻,8803,65974,2024-02-1117:25:09,2024-06-1222:16:28
