ID,CONTENTID,素材名称,真实下载量,外显下载量,真实分享量,外显下载量,创建时间,更新时间
2884057,1539399,小学数学思维训练100题.pdf,13273,99924,1255,9422,2024-04-1516:50:35,2024-06-1320:14:59
772679,787249,高中数学答题模版.pdf,8834,66435,124,929,2024-02-0514:09:40,2024-06-1314:41:48
772690,787248,高中语文答题模板.pdf,7426,55636,131,1002,2024-02-0514:10:14,2024-06-1010:24:17
772685,787250,高中物理答题模版.pdf,6087,45805,141,1064,2024-02-0514:10:03,2024-06-1314:42:57
81527,646740,三年级语文周周练（3）.docx,5416,196026,408,3186,2024-01-3017:58:52,2024-06-1207:20:05
3713867,1567370,文学常识习题（上）ovle.pdf,4849,36477,437,3320,2024-05-1121:04:14,2024-06-1320:12:43
2684286,1527156,三年级（下）期中语文测试卷.doc,4650,34812,717,5359,2024-04-0816:52:11,2024-06-1320:10:33
89122,744988,八年级下册古诗文默写-备战2024年中考语文古诗文默写背诵复习（全国通用）解析版.pdf,4591,40647,426,3316,2024-01-3017:59:58,2024-06-1320:14:15
2739515,1534500,四年级下册期中知识点EBc8.docx,4403,32976,510,3784,2024-04-1018:57:55,2024-06-1320:02:42
772800,787242,高中地理答题模版.pdf,4348,32510,80,592,2024-02-0514:15:16,2024-06-1218:26:58
2736015,1534496,三年级下册期中知识点DwgV.docx,4260,31718,483,3613,2024-04-1015:54:07,2024-06-1319:43:01
772693,787247,高中英语答题模板.pdf,4199,31639,72,541,2024-02-0514:10:24,2024-06-1010:24:24
643475,778998,八年级下册物理知识点汇总mqHg.doc,4106,30774,528,3953,2024-02-0213:12:21,2024-06-1121:15:10
81558,646816,四年级语文周周练（2）.docx,4092,162383,251,2029,2024-01-3017:58:52,2024-05-2807:27:20
2736429,1534499,五年级下册期中知识点JNAZ.docx,4073,30503,639,4769,2024-04-1016:18:55,2024-06-1320:08:11
81440,646667,二年级语文周周练（2）.docx,4067,128255,420,3472,2024-01-3017:58:49,2024-05-2922:07:11
3713939,1567369,文学常识习题（下）8ieY.pdf,3945,29808,384,2901,2024-05-1121:06:14,2024-06-1320:07:24
2680191,1527152,二年级（下）期中语文测试卷.doc,3939,29518,620,4667,2024-04-0815:28:55,2024-06-1320:14:43
773081,787243,高中政治答题模版.pdf,3772,28354,62,466,2024-02-0514:30:04,2024-06-1010:22:36
89117,744983,七年级下册古诗文默写-备战2024年中考语文古诗文默写背诵复习（全国通用）解析版.pdf,3612,31817,355,2773,2024-01-3017:59:58,2024-06-1320:15:03
2691500,1527163,三年级下册期中数学试卷.doc,3601,27117,592,4471,2024-04-0821:17:46,2024-06-1320:07:10
87245,691453,高中3500词汇思维导图版.pdf,3568,61737,192,1703,2024-01-3017:59:31,2024-06-1303:13:38
87250,691459,高中状元物理知识点详细总结.pdf,3438,70843,294,2512,2024-01-3017:59:31,2024-06-1303:17:14
3827051,1595920,小学语文学霸笔记（1-6年级全不分上下）.pdf,3401,25587,115,845,2024-05-1609:01:49,2024-06-1319:04:03
2154883,1108482,初中物理300个易错知识点梳理.pdf,3376,25361,347,2577,2024-03-2216:00:32,2024-06-1316:10:27
2708839,1527160,四年级（下）期中语文测试卷.doc,3363,25191,522,3865,2024-04-0914:59:49,2024-06-1320:14:58
81591,646876,五年级语文周周练（2）.docx,3355,131535,221,1796,2024-01-3017:58:52,2024-05-2608:08:08
2684340,1527151,五年级下册期中数学试卷.doc,3312,24684,562,4213,2024-04-0816:55:45,2024-06-1318:51:40
