ID,音视频集名称,音视频集ID,播放量
304,趣讲西游记·全集,55545,4749246
881,趣讲史记·52集,54943,3579920
866384,中国皇帝传,64747,2556012
4378964,克雷洛夫寓言,100173,1696799
743,少年读三国·儿童广播剧,55090,1511844
2529949,宇宙奇妙大探险,78563,1124831
4860179,《伊索寓言》有声剧,100020,1092251
4825019,《海底两万里》有声剧,100018,1055421
4650887,中国神话故事,100010,1052293
4369346,趣说历史人物,100161,1035046
929,水浒传·名著解读,55388,1023065
4816244,精选成语故事,100071,962391
4860205,公主故事有声剧,100019,881653
145,细说红楼梦中人,55489,873694
2529808,昆虫记·趣味有声剧,78627,827224
4862237,红色经典,100027,808712
898,成语故事·寓言故事篇,55281,796967
677,语文课本中的大人物,55528,788865
4646691,福尔摩斯探案集,100012,784479
2529918,国学经典系列读物,78528,695088
783,科普小故事·3-8岁睡前读物,55447,671375
4859955,世说新语,100028,663840
4651213,365夜睡前故事,100011,613498
2529887,口语练习30天,78497,604198
212,精编成语故事·小学必备,55468,596953
2529980,改变生活的发明,78596,583111
4348552,初中英语核心词汇百日打卡,100057,559261
862464,数学知识点讲解·毛毛老师,64539,526364
4624177,《安徒生童话》有声剧,100013,515705
4860195,《查理和巧克力工厂》,100021,470515
1145523,十二生肖的故事,65294,442203
4763540,趣讲唐宋八大家,100077,437426
2529856,《鲁滨逊漂流记》名著精讲,78686,421100
1145365,三字经·国学启蒙,65249,419682
4402314,科普知识万花筒,100172,376111
4859799,千字文,100023,375953
862426,语文知识点讲解·池子老师,64565,367005
1149562,小猪佩奇双语动画,65836,364320
274,,55548,351774
4816162,《看电影学英语》视频,100086,345285
862516,7天单词速记,64502,331661
4372070,数学趣味课堂,100163,329050
4651115,叫早英语儿歌！,100008,324901
432,成语故事·历史典故篇,55273,320086
762,成语故事·神话传说篇,55308,312356
550,小学必背文言文20讲,55067,305682
1145458,趣味物理课·初中必备,65353,298237
343,古诗词里的夏天,54906,297474
4403330,趣味学单词,100194,291520
1145469,世界经典童话中英双语,65274,289761
374,名师带你读鲁迅,54987,286358
4788310,冷爷知识科普,100198,271616
4402660,高老头,100170,271178
4321976,高中英语核心词汇百日打卡,100061,266781
696,food：美味的食物,54687,263263
1145427,好妈妈家庭教育课,65342,256522
4761959,英语自然拼读故事会,100009,252272
4860193,《汤姆索亚历险记》精讲,100022,250381
1145542,奇妙的动物世界,65302,239402
4794660,小学生《看电影学英语》,100079,239236
275,,55553,236719
114,成长励志名著合集,55318,232023
411,少年读唐诗·25篇,55173,230586
276,,55561,221474
239,带孩子环游中国·18期,55231,220533
829,,54947,213026
42,带孩子环游世界·12期,55199,210974
4813270,家庭教育专题课,100202,206482
122306,恐龙百科·科学启蒙,57723,204179
70,奇妙的人体·3-8岁启蒙,55016,200534
4322544,英语分级阅读,100062,200091
685,写人作文专项训练,54861,195925
2529845,漫游36座顶尖博物馆,78649,194911
1145510,中国现代文学大师作品精讲,65295,193636
713,三年级必背古诗词,54736,188095
277,,55567,187238
278,,55570,183560
515,文学大师作品精讲阅读课,55328,174381
283,,55588,171687
80,人类简史,54818,170968
279,,55574,168604
830,,54951,168156
4330540,初中历史考前快听快背,100049,166108
4816728,《骆驼祥子》名著精讲,100076,165936
4788488,新年科普知识特辑,100204,165784
280,,55578,164543
99,奇幻冒险名著合集,55048,164182
4784272,雪球益智小游戏100期,100249,163855
282,,55585,162630
284,,55590,162518
4794886,初中生《看电影学英语》,100080,159683
4817640,初中古诗词精讲,100074,159172
281,,55582,158309
285,,55593,158127
563,文言文里的寓言故事,55359,156880
714,,55093,156738
291,,55608,156124
286,,55595,155789
4807980,七年级上册精讲历史,100120,154005
872070,「论语」精讲,64739,150202
